Name,Label,handles_num,hiveList,dlls_ldrmodules_num,dlls_ldrmodules_unique_mappedpaths_num,dlls_ldrmodules_InInit_fales_num,dlls_ldrmodules_InLoad_false_num,dlls_ldrmodules_InMem_False_num,dlls_ldrmodules_all_false_num,modules_num,callbacks_num,processes_privs_enabled_not_default_num,processes_psxview_exited_num,processes_psxview_false_columns_num,processes_psxview_false_rows_num,processes_psxview_num,processes_psxview_pslist_true_num,processes_psxview_psscan_true_num,services_svcscan_num,services_svcscan_running_num,services_svcscan_stopped_num,dlls_dlllist_unique_paths_num,mutex_mutantscan_num,threads_thrdscan_num,pslist,tcp/udp_connections,total_reg_events,read_events,write_events,del_events,executable_files,unknown_types,http(s)_requests,dns_requests
Baseline,1,100,568,2635,467,130,78,78,78,156,10,7,5,60,60,60,0,393,139,254,15453,446,791,25,24,1,0,0,0,0,0,0,12,44
Legitimate word document,1,97,497,1484,504,103,68,68,68,155,9,1,5,47,47,47,0,393,134,256,16060,443,965,1881,915,911,55,0,2,0,0,0,12,47
Wireshark,1,98,502,2133,492,117,75,75,75,156,12,2,5,45,45,45,0,392,139,253,13222,420,637,1709,812,796,63,0,0,1,4,2,12,45
Procmon,1,97,523,2242,476,114,62,62,62,156,9,2,5,47,47,47,0,393,134,259,14352,423,702,396,377,19,0,0,0,0,0,0,14,48
Avast antivirus,1,98,514,2746,496,144,94,94,94,155,9,1,5,52,52,52,0,391,132,253,16122,413,769,1251,1035,579,0,0,0,1,0,0,13,52
MS word doc with macro,1,98,512,2585,519,131,87,87,87,154,10,1,5,47,47,47,0,393,137,258,13900,410,722,1015,1033,525,57,0,0,0,0,0,12,47
Spotify,1,97,509,2432,506,106,79,79,79,154,9,1,5,43,43,43,0,393,134,259,13432,412,672,1123,1025,503,41,0,0,0,0,0,12,45
7Zip,1,98,504,2114,483,137,81,81,81,156,9,2,5,53,53,53,0,393,139,254,12257,463,712,1286,1196,623,0,0,0,0,0,0,12,48
Zoom,1,98,521,2493,502,121,98,98,98,154,10,2,5,47,47,47,0,393,137,258,14463,421,748,1344,789,478,0,0,0,0,0,0,13,45
Google chrome,1,98,516,2123,523,129,83,83,83,154,10,1,5,55,55,55,0,393,140,253,13874,411,698,1886,1504,342,0,0,0,0,0,0,12,47
WhatsApp web,1,97,507,2653,502,132,78,78,78,156,9,1,5,44,44,44,0,393,137,258,13921,416,643,1621,1128,421,6,0,0,0,0,0,12,44
Outlook,1,98,493,1728,521,118,73,73,73,154,9,2,5,56,56,56,0,393,134,259,13280,412,709,1104,1016,445,3,0,0,0,0,0,13,48
Adobe Reader,1,97,526,2343,483,138,89,89,89,154,10,2,5,52,52,52,0,393,137,258,12421,428,631,1498,996,512,0,1,0,0,0,1,13,48
Microsoft store,1,97,573,2534,443,119,63,63,63,154,9,1,5,46,46,46,0,392,139,253,12318,434,718,1023,894,517,0,0,0,0,0,0,12,45
Firefox,1,98,512,2013,424,138,71,71,71,156,9,1,5,52,52,52,0,393,134,259,13426,463,728,1115,1021,529,0,0,1,0,0,0,12,44
Skype,1,97,501,2404,502,129,63,63,63,154,10,1,5,49,49,49,0,393,137,256,12798,421,673,1017,653,322,3,1,0,0,0,0,13,44
Microsoft Excel,1,97,523,2371,478,118,76,76,76,154,10,2,5,43,43,43,0,393,134,259,13248,410,702,1151,1006,536,0,0,0,0,0,0,12,44
VMware,1,98,507,2236,521,136,69,69,69,155,9,2,5,59,59,59,0,393,140,253,12287,449,673,1089,1034,486,0,0,0,0,0,0,13,45
iTunes,1,98,546,2115,496,109,73,73,73,155,9,1,5,46,46,46,0,393,137,256,14321,407,724,991,967,511,13,1,0,1,3,2,12,48
Microsoft Edge,1,97,512,2132,501,131,59,59,59,156,10,2,5,51,51,51,0,393,134,259,13871,421,697,1610,1542,394,0,0,0,0,0,0,12,45
KeePass,1,97,513,2112,523,112,78,78,78,154,10,1,5,58,58,58,0,392,139,253,16548,422,713,336,114,756,62,0,0,0,0,0,12,44
Windows Defender scan,1,98,486,1833,496,136,83,83,83,154,9,1,5,49,49,49,0,393,137,258,12874,417,648,1249,1428,313,42,1,0,0,0,0,13,44
Notepad++,1,97,521,2341,467,127,66,66,66,156,10,2,5,55,55,55,0,392,133,259,15489,443,721,1076,776,602,0,0,0,0,0,0,13,48
PowerShell,1,98,532,2058,504,106,71,71,71,154,10,1,5,47,47,47,0,393,134,259,13651,491,786,1468,1026,416,4,0,0,0,0,0,12,45
Emotet,0,98,609,2337,538,111,70,70,70,155,9,1,5,43,43,43,0,393,136,257,12624,469,635,2414,1639,703,72,2,5,13,15,5,16,51
GZipDe,0,95,671,2561,675,152,99,99,99,155,10,2,5,56,56,56,0,393,140,253,16741,552,790,1271,926,344,1,0,1,1,1,0,14,56
Macros,0,98,532,2482,551,134,90,90,90,154,10,7,5,52,52,52,0,393,135,258,13301,488,679,1955,1236,649,70,1,5,1,1,1,14,52
Valyria,0,98,526,2534,538,140,95,95,95,156,9,1,5,47,47,47,0,393,136,257,15073,446,822,1808,1149,604,55,1,2,3,6,5,15,49
LokiBot,0,98,506,1776,115,113,72,72,72,156,9,2,5,46,46,46,0,393,140,253,13878,445,809,1165,1039,121,5,3,2,0,1,25,14,53
August,0,99,576,1261,490,104,74,74,74,157,10,2,5,40,40,40,0,393,134,259,12917,407,798,2063,1310,697,56,1,11,4,8,5,14,47
JS_POWMET,0,98,608,2514,502,127,79,79,79,157,9,1,5,50,50,50,0,393,138,255,14536,427,793,310,231,79,0,1,0,0,2,2,16,50
Keybase,0,97,525,2936,1016,795,755,755,755,156,9,2,5,43,43,43,0,393,137,256,14245,429,793,2006,877,124,5,0,0,0,1,1,15,54
Kovter,0,98,579,2316,492,126,84,84,84,154,12,0,4,43,43,43,0,393,136,257,12259,419,609,393,302,90,1,0,0,1,17,0,13,52
Rozena,0,98,623,2418,556,133,73,73,73,156,9,2,5,47,47,47,0,393,138,255,13876,443,798,1844,1183,604,57,0,2,0,0,1,13,50
Phase Bot,0,98,556,2569,543,136,93,93,93,156,9,2,5,50,50,50,0,393,137,256,14423,479,806,1424,923,588,13,0,0,3,7,17,14,49
Silence,0,98,513,1767,498,196,89,89,89,154,10,2,4,43,43,43,0,393,137,256,15646,484,688,2191,1317,728,41,0,3,7,8,21,13,46
CryptoWorm,0,97,569,1892,623,113,90,90,90,157,9,1,5,47,47,47,0,393,138,255,13775,492,811,1871,1631,113,7,4,2,4,12,7,14,52
CodeFork,0,98,591,2317,517,172,69,69,69,154,9,2,5,48,48,48,0,393,140,253,13423,434,613,2023,1121,623,12,1,7,5,4,6,16,46
PowerWare,0,98,616,1483,639,118,70,70,70,155,9,1,5,43,43,43,0,393,136,257,12624,469,720,2413,1643,721,73,2,5,14,12,5,16,51
Poweliks,0,98,668,2463,548,126,86,86,86,155,10,2,5,51,51,51,0,393,136,257,12241,413,673,1637,1061,453,31,0,2,3,8,2,15,52
Sorebrect,0,282,13,2262,544,369,329,329,329,119,10,5,0,41,41,41,41,0,411,150,261,553,406,0,41,15,5024,4982,41,1,0,3,4,4
PowerSniff,0,314,13,2563,585,320,275,275,275,252,10,6,0,46,46,46,46,0,411,189,222,586,492,0,46,4,29841,19426,10251,164,0,3,3,5
Lemon Duck,0,595,12,2718,593,270,220,220,220,221,10,13,4,51,51,51,56,0,411,187,224,587,460,0,51,4,4164,4122,42,0,0,1,2,3
Novter,0,341,13,2652,650,342,298,298,298,396,10,11,0,45,45,45,45,0,411,189,222,609,528,0,45,5,5923,5817,106,0,0,2,2,4
DarkWatchman,0,393,14,3086,649,366,306,305,306,322,10,10,2,64,64,64,64,0,411,191,220,634,583,0,64,6,6976,6942,31,3,2,4,1,7
